id,lig_id,lig_name,formula,mol_weight,inchi_key
,AZJ,ETHYL 6-{4-[(BENZYLSULFONYL)CARBAMOYL]PIPERIDIN-1-YL}-5-CYANO-2-METHYLPYRIDINE-3-CARBOXYLATE,C23 H26 N4 O5 S,470.54,NEMHKCNXXRQYRF-UHFFFAOYSA-N
,CY8,CYCLOPAMINE,C27 H41 N O2,411.62,QASFUMOKHFSJGL-LAFRSMQTSA-N
,2U8,MAVOGLURANT,C19 H23 N O3,313.39,ZFPZEYHRWGMJCV-ZHALLVOQSA-N
,MES,2-(N-MORPHOLINO)-ETHANESULFONIC ACID,C6 H13 N O4 S,195.24,SXGZJKUKBWWHRA-UHFFFAOYSA-N
,YCM,S-(2-AMINO-2-OXOETHYL)-L-CYSTEINE,C5 H10 N2 O3 S,178.21,VFKYKPOTSJWPIU-VKHMYHEASA-N
,FM9,"4-FLUORO-N-METHYL-N-{4-[6-(PROPAN-2-YLAMINO)PYRIMIDIN-4-YL]-1,3-THIAZOL-2-YL}BENZAMIDE",C18 H18 F N5 O S,371.43,WIVGIKIKQHUFOD-UHFFFAOYSA-N
,2YB,"[(3S)-6-({2',6'-DIMETHYL-4'-[3-(METHYLSULFONYL)PROPOXY]BIPHENYL-3-YL}METHOXY)-2,3-DIHYDRO-1-BENZOFURAN-3-YL]ACETIC ACID",C29 H32 O7 S,524.62,BZCALJIHZVNMGJ-HSZRJFAPSA-N
,DMS,DIMETHYL SULFOXIDE,C2 H6 O S,78.13,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
,6AD,2-(METHYLSULFANYL)ADENOSINE 5'-(TRIHYDROGEN DIPHOSPHATE),C11 H17 N5 O10 P2 S,473.29,WLMZTKAZJUWXCB-KQYNXXCUSA-N
,6AT,2-(METHYLSULFANYL)ADENOSINE 5'-(TETRAHYDROGEN TRIPHOSPHATE),C11 H18 N5 O13 P3 S,553.27,XNOBOKJVOTYSJV-KQYNXXCUSA-N
,A8T,2-{6-[4-(4-BENZYLPHTHALAZIN-1-YL)PIPERAZIN-1-YL]PYRIDIN-3-YL}PROPAN-2-OL,C27 H29 N5 O,439.55,KSWYJUIFHPSZOL-UHFFFAOYSA-N
,SG8,"3-CHLORO-4,7-DIFLUORO-N-[TRANS-4-(METHYLAMINO)CYCLOHEXYL]-N-[3-(PYRIDIN-4-YL)BENZYL]-1-BENZOTHIOPHENE-2-CARBOXAMIDE",C28 H26 CL F2 N3 O S,526.04,RXZDWPYJFCAZCW-MEMLXQNLSA-N
,35V,"4-[(1R)-1-HYDROXY-2-({2-[3-METHOXY-4-(2-SULFANYLETHOXY)PHENYL]ETHYL}AMINO)ETHYL]BENZENE-1,2-DIOL",C19 H25 N O5 S,379.47,ABMSPPLJHILUDP-KRWDZBQOSA-N
,DI7,"2,6-DIMETHYL-L-TYROSINE",C11 H15 N O3,209.24,LSNDLIKCFHLFKO-JTQLQIEISA-N
,DI8,"(3S)-1,2,3,4-TETRAHYDROISOQUINOLINE-3-CARBOXYLIC ACID",C10 H11 N O2,177.2,BWKMGYQJPOAASG-VIFPVBQESA-N
,NH2,AMINO GROUP,H2 N,16.02,QGZKDVFQNNGYKY-UHFFFAOYAF
,SUV,"[(7R)-4-(5-CHLORO-1,3-BENZOXAZOL-2-YL)-7-METHYL-1,4-DIAZEPAN-1-YL][5-METHYL-2-(2H-1,2,3-TRIAZOL-2-YL)PHENYL]METHANONE",C23 H23 CL N6 O2,450.92,JYTNQNCOQXFQPK-MRXNPFEDSA-N
,P6G,HEXAETHYLENE GLYCOL,C12 H26 O7,282.33,IIRDTKBZINWQAW-UHFFFAOYSA-N
,TAR,D(-)-TARTARIC ACID,C4 H6 O6,150.09,FEWJPZIEWOKRBE-LWMBPPNESA-N
,3C0,N-METHYL SCOPOLAMINE,C18 H24 N O4 1,318.39,LZCOQTDXKCNBEE-IKIFYQGPSA-N
,NGI,2-[P-(2-CARBOXYETHYL)PHENYLETHYL-AMINO]-5'-N-ETHYLCARBOXAMIDO ADENOSINE,C23 H29 N7 O6,499.52,PAOANWZGLPPROA-RQXXJAGISA-N
,FLC,CITRATE ANION,C6 H5 O7 -3,189.1,KRKNYBCHXYNGOX-UHFFFAOYSA-K
,BUR,1-[2-(2-TERT-BUTYLPHENOXY)PYRIDIN-3-YL]-3-[4-(TRIFLUOROMETHOXY)PHENYL]UREA,C23 H22 F3 N3 O3,445.43,AHFLGPTXSIRAQK-UHFFFAOYSA-N
,2ID,"[(1R,2S,4S,5S)-4-[2-IODO-6-(METHYLAMINO)-9H-PURIN-9-YL]-2-(PHOSPHONOOXY)BICYCLO[3.1.0]HEX-1-YL]METHYL DIHYDROGEN PHOSPHATE",C13 H18 I N5 O8 P2,561.16,NMVWLEUONAKGCD-SMWKGLLFSA-N
,SIN,SUCCINIC ACID,C4 H6 O4,118.09,KDYFGRWQOYBRFD-UHFFFAOYSA-N
,PCA,PYROGLUTAMIC ACID,C5 H7 N O3,129.11,ODHCTXKNWHHXJC-VKHMYHEASA-N
,ZD7,"5,7-DIETHYL-1-{[2'-(1H-TETRAZOL-5-YL)BIPHENYL-4-YL]METHYL}-3,4-DIHYDRO-1,6-NAPHTHYRIDIN-2(1H)-ONE",C26 H26 N6 O,438.52,BFVNEYDCFJNLGN-UHFFFAOYSA-N
,ON7,"{1-[(2S,3S)-2-(2,3-DIHYDRO-1H-INDEN-2-YLMETHYL)-3-(3,5-DIMETHOXY-4-METHYLPHENYL)-3-HYDROXYPROPYL]-4-(METHOXYCARBONYL)-1H-PYRROL-3-YL}ACETIC ACID",C30 H35 N O7,521.6,PMPFDANPLYTSTM-PWUYWRBVSA-N
,ON9,"3-{1-[(2S,3S)-3-(4-ACETYL-3,5-DIMETHOXYPHENYL)-2-(2,3-DIHYDRO-1H-INDEN-2-YLMETHYL)-3-HYDROXYPROPYL]-4-(METHOXYCARBONYL)-1H-PYRROL-3-YL}PROPANOIC ACID",C32 H37 N O8,563.64,URHZQBASTULQKJ-VVFBEHOQSA-N
,ON3,"1-(4-{[(2S,3R)-2-(2,3-DIHYDRO-1H-INDEN-2-YLOXY)-3-(3,5-DIMETHOXY-4-METHYLPHENYL)-3-HYDROXYPROPYL]OXY}PHENYL)CYCLOPROPANECARBOXYLIC ACID",C31 H34 O7,518.6,FVESDCZDESZGHA-URLMMPGGSA-N
,4OT,"[5-(2-FLUOROPHENYL)-2-METHYL-1,3-THIAZOL-4-YL]{(2S)-2-[(5-PHENYL-1,3,4-OXADIAZOL-2-YL)METHYL]PYRROLIDIN-1-YL}METHANONE",C24 H21 F N4 O2 S,448.51,HYBZWVLPALMACV-KRWDZBQOSA-N
,OLM,OLMESARTAN,C24 H26 N6 O3,446.5,VTRAEEWXHOVJFV-UHFFFAOYSA-N
,XTK,4-[(2S)-3-(TERT-BUTYLAMINO)-2-HYDROXYPROPOXY]-7-METHYL-1H-INDOLE-2-CARBONITRILE,C17 H23 N3 O2,301.38,NDCOGBYMSDLXAU-ZDUSSCGKSA-N
,4VO,"(2S,3S,3AR,5AR,6R,11BR,11CS)-3A-METHOXY-3,14-DIMETHYL-2-PHENYL-2,3,3A,6,7,11C-HEXAHYDRO-1H-6,11B-(EPIMINOETHANO)-3,5A-METHANONAPHTHO[2,1-G]INDOL-10-OL",C28 H32 N2 O2,428.57,RGJHUVJQGAAZLK-CLYKQLRXSA-N
,51D,3-CHLORO-4-FLUORO-5-[6-(1H-PYRAZOL-1-YL)PYRIMIDIN-4-YL]BENZONITRILE,C14 H7 CL F N5,299.69,UPDNOLJVPHHECL-UHFFFAOYSA-N
,51E,3-CHLORO-5-[6-(5-FLUOROPYRIDIN-2-YL)PYRIMIDIN-4-YL]BENZONITRILE,C16 H8 CL F N4,310.71,FQAXDSVNYVVQSE-UHFFFAOYSA-N
,EDO,"1,2-ETHANEDIOL",C2 H6 O2,62.07,LYCAIKOWRPUZTN-UHFFFAOYSA-N
,N9S,4-O-ALPHA-D-GLUCOPYRANOSYL-BETA-D-GLUCOPYRANOSE,C12 H22 O11,342.3,GUBGYTABKSRVRQ-QUYVBRFLSA-N
,DGV,"1-BENZYL-N-{3-[4-(2,6-DICHLOROPHENYL)PIPERIDIN-1-YL]PROPYL}-D-PROLINAMIDE",C26 H33 CL2 N3 O,474.47,UWHDLFOAIARROU-XMMPIXPASA-N
